drug_name,symptom_name,original_symptom,source
Ibuprofen,loss of consciousness,Loss of consciousness,https://go.drugbank.com/drugs/DB01050
Ibuprofen,convulsions,Convulsions / Seizures,https://go.drugbank.com/drugs/DB01050
Ibuprofen,seizures,Convulsions / Seizures,https://go.drugbank.com/drugs/DB01050
Ibuprofen,shortness of breath,Shortness of breath,https://go.drugbank.com/drugs/DB01050
Ibuprofen,respiratory depression or apnea,Respiratory depression or apnea,https://go.drugbank.com/drugs/DB01050
Ibuprofen,kidney failure,Kidney failure,https://go.drugbank.com/drugs/DB01050
Ibuprofen,abnormal liver function,Abnormal liver function,https://go.drugbank.com/drugs/DB01050
Ibuprofen,high potassium,High potassium,https://go.drugbank.com/drugs/DB01050
Ibuprofen,metabolic acidosis,Metabolic acidosis,https://go.drugbank.com/drugs/DB01050
Ibuprofen,coma,Coma,https://go.drugbank.com/drugs/DB01050
Dexamethasone,swelling,swelling,https://go.drugbank.com/drugs/DB01234
Dexamethasone,mood changes,mood changes,https://go.drugbank.com/drugs/DB01234
Dexamethasone,vision problems,vision problems,https://go.drugbank.com/drugs/DB01234
Dexamethasone,weakness,weakness,https://go.drugbank.com/drugs/DB01234
Dexamethasone,stomach pain,stomach pain,https://go.drugbank.com/drugs/DB01234
Dexamethasone,infections,or infections,https://go.drugbank.com/drugs/DB01234
Omeprazole,feeling confused,Feeling confused,https://go.drugbank.com/drugs/DB00338
Omeprazole,sleepy,sleepy,https://go.drugbank.com/drugs/DB00338
Omeprazole,blurry vision,blurry vision,https://go.drugbank.com/drugs/DB00338
Omeprazole,racing heart,racing heart,https://go.drugbank.com/drugs/DB00338
Omeprazole,feeling sick,feeling sick,https://go.drugbank.com/drugs/DB00338
Omeprazole,sweating,sweating,https://go.drugbank.com/drugs/DB00338
Omeprazole,warm skin,warm skin,https://go.drugbank.com/drugs/DB00338
Omeprazole,headache,headache,https://go.drugbank.com/drugs/DB00338
Omeprazole,dry mouth,dry mouth,https://go.drugbank.com/drugs/DB00338
Levothyroxine,irregular heartbeat,Fast or irregular heartbeat,https://go.drugbank.com/drugs/DB00451
Levothyroxine,feeling anxious,feeling anxious or jittery,https://go.drugbank.com/drugs/DB00451
Levothyroxine,feeling jittery,feeling anxious or jittery,https://go.drugbank.com/drugs/DB00451
Levothyroxine,trouble sleeping,trouble sleeping,https://go.drugbank.com/drugs/DB00451
Levothyroxine,weight loss,weight loss,https://go.drugbank.com/drugs/DB00451
Levothyroxine,feeling hot,feeling hot,https://go.drugbank.com/drugs/DB00451
Levothyroxine,hand tremors,hand tremors,https://go.drugbank.com/drugs/DB00451
Levothyroxine,loose stools,loose stools,https://go.drugbank.com/drugs/DB00451
Levothyroxine,sweating a lot,sweating a lot,https://go.drugbank.com/drugs/DB00451
Aspirin,pain,Pain,https://www.drugs.com/aspirin.html
Aspirin,fever,Fever,https://www.drugs.com/aspirin.html
Aspirin,inflammatory,Inflammatory,https://www.drugs.com/aspirin.html
Metformin,tired,tired,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,weakness,weakness,https://www.drugs.com/search.php?searchterm=Metformin
Metformin,unusual sleepiness,Unusual sleepiness,https://www.drugs.com/search.php?searchterm=Metformin
