original_name,normalized_name
You should not use aspirin if you have a bleeding disorder such as hemophilia,you should not use aspirin if you have a bleeding disorder such as hemophilia
a recent history of stomach or intestinal bleeding,a recent history of stomach or intestinal bleeding
or if you are allergic to an non-steroidal anti-inflammatory drug. Do not give this medication to a child or teenager with a fever,or if you are allergic to an non-steroidal anti-inflammatory drug. do not give this medication to a child or teenager with a fever
flu symptoms,flu symptoms
or chickenpox. And Taking aspirin during late pregnancy may cause bleeding and You should not breastfeed while using this medicine.,or chickenpox. and taking aspirin during late pregnancy bleeding and you should not breastfeed while using this medicine.
You should not use metformin if you have severe kidney disease,you should not use metformin if you have severe kidney disease
metabolic acidosis,metabolic acidosis
or diabetic ketoacidosis (call your doctor for treatment).,or diabetic ketoacidosis call your doctor for treatment .
If you need to have any type of x-ray or CT scan using a dye that is injected into your veins,if you need to have any type of x-ray or ct scan using a dye that is injected into your veins
you may need to temporarily stop taking metformin.,you may need to temporarily stop taking metformin.
Though extremely rare,though extremely rare
you may develop lactic acidosis,you may develop lactic acidosis
a dangerous build-up of lactic acid in your blood. Call your doctor or get emergency medical help if you have unusual muscle pain,a dangerous build-up of lactic acid in your blood. call your doctor or get emergency medical help if you have unusual muscle pain
trouble breathing,trouble breathing
stomach pain,stomach pain
dizziness,dizziness
feeling cold,feeling cold
or feeling very weak or tired.,or feeling very weak or tired.
You should not take this medicine if you have liver disease or cirrhosis.,you should not take this medicine if you have liver disease or cirrhosis.
this medicine can cause the breakdown of muscle tissue,this medicine can cause the breakdown of muscle tissue
which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain,which can lead to kidney failure. call your doctor right away if you have unexplained muscle pain
tenderness,tenderness
or weakness especially if you also have fever,or weakness especially if you also have fever
unusual tiredness,unusual tiredness
or dark urine.,or dark urine.
Serious drug interactions can occur when certain medicines are used together with atorvastatin. Tell each of your healthcare providers about all medicines you use now,drug interactions can occur when certain medicines are used together with atorvastatin. tell each of your healthcare providers about all medicines you use now
and any medicine you start or stop using.,and any medicine you start or stop using.
Avoid eating foods that are high in fat or cholesterol. This medicine will not be as effective in lowering your cholesterol if you do not follow a cholesterol-lowering diet plan.,avoid eating foods that are high in fat or cholesterol. this medicine will not be as effective in lowering your cholesterol if you do not follow a cholesterol-lowering diet plan.
Do not use if allergic to amoxicillin or any penicillin antibiotic. Inform your provider if you have asthma,do not use if allergic to amoxicillin or any penicillin antibiotic. inform your provider if you have asthma
liver or kidney disease,liver or kidney disease
a bleeding disorder,a bleeding disorder
or mononucleosis. May reduce effectiveness of birth control pills use backup methods. Always complete the full prescribed course,or mononucleosis. may reduce effectiveness of birth control pills use backup methods. always complete the full prescribed course
it wont treat viral infections like the flu or common cold,it wont treat viral infections like the flu or common cold
Do not exceed 4?g daily in adults. Avoid if you have severe liver disease or alcoholism,do not exceed 4?g daily in adults. avoid if you have severe liver disease or alcoholism
and do not mix with other acetaminophen-containing drugs (risking overdose). Caution advised in pregnancy/breastfeedingask a healthcare provider. Avoid alcohol to reduce liver damage risk. Monitor for liver-related symptoms,and do not mix with other acetaminophen-containing drugs risking overdose . caution advised in pregnancy/breastfeedingask a healthcare provider. avoid alcohol to reduce liver damage risk. monitor for liver-related symptoms
seek medical help if they occur,seek medical help if they occur
